index,speaker,start,end,duration,text
503,DGAC & PDI,1745.625,1754.605,8.980,"¿Ya? Entrego entonces los caracoles de cuando yo estaba listo que no fue por el segundo nivel para ganar la situación. ¿Para que se vea maíz, eh? Por eso, lo entrego de nuevo. Ya, chiquillo. ¿Estás listo? Ya. Ya. Ya."
504,"SPEAKER_02 [official, untranscribed]",1754.945,1755.385,0.440,[untranscribed]
505,Leandro Disconzi (passenger),1755.665,1757.845,2.180,Me voy a soltar un poco porque quiero...
506,Leandro Disconzi (passenger),1758.045,1759.845,1.800,ah o te sabe
507,Leandro Disconzi (passenger),1760.345,1760.705,0.360,não
508,Leandro Disconzi (passenger),1761.105,1762.525,1.420,"no es No, no, no"
509,Leandro Disconzi (passenger),1762.185,1762.285,0.100,mira
510,Leandro Disconzi (passenger),1762.885,1764.765,1.880,agression agression
511,Leandro Disconzi (passenger),1765.365,1766.725,1.360,agression agression
512,Leandro Disconzi (passenger),1767.505,1770.685,3.180,não toca tu não pode tocar me é como
513,Leandro Disconzi (passenger),1776.965,1778.105,1.140,tá tá tá
514,Leandro Disconzi (passenger),1778.785,1779.925,1.140,tá cômico isso
515,Leandro Disconzi (passenger),1781.045,1782.205,1.160,Jesus Christ
516,Leandro Disconzi (passenger),1800.745,1801.725,0.980,"Camila, Camila."
517,Leandro Disconzi (passenger),1803.545,1805.025,1.480,¿Qué vamos a hacer? ¿Qué estamos haciendo?
518,Leandro Disconzi (passenger),1805.025,1805.225,0.200,¿Qué vamos a hacer? ¿Qué estamos haciendo?
519,Leandro Disconzi (passenger),1805.325,1809.285,3.960,¿Qué vamos a hacer? ¿Qué estamos haciendo?
520,DGAC & PDI,1809.805,1811.145,1.340,¡Vamos con policía!
521,Leandro Disconzi (passenger),1811.665,1812.645,0.980,"Ya, bueno."
522,Leandro Disconzi (passenger),1812.885,1813.485,0.600,"Bueno, bueno. La, la."
523,Leandro Disconzi (passenger),1813.485,1822.645,9.160,"Ya, si se tiene la grabación bacana, pero si no..."
524,"SPEAKER_02 [official, untranscribed]",1823.085,1826.945,3.860,[untranscribed]
525,Leandro Disconzi (passenger),1828.345,1828.565,0.220,ok
526,Leandro Disconzi (passenger),1828.565,1829.365,0.800,"¡No toques, tú no puedes tocarme!"
527,"SPEAKER_02 [official, untranscribed]",1829.585,1830.885,1.300,???¡Paita!
528,"SPEAKER_02 [official, untranscribed]",1830.785,1831.925,1.140,???¡Paita!
529,"SPEAKER_02 [official, untranscribed]",1831.925,1833.145,1.220,???¡Paita!
530,Leandro Disconzi (passenger),1833.145,1835.445,2.300,!Está cómico eso!
531,Leandro Disconzi (passenger),1835.845,1836.225,0.380,!Está cómico eso!
532,DGAC & PDI,1837.845,1839.905,2.060,"Si, pero camina, pero camina. No, si tu te paras ahí yo te voy a empujar, porque tienes que seguirnos."
533,Leandro Disconzi (passenger),1840.205,1855.305,15.100,"Ah, ya no es así, lo que yo quiera. Yo nunca he hecho lo que yo quiera."
534,Leandro Disconzi (passenger),1855.305,1858.765,3.460,"Yo cumplí. Y ahora sí tú me pruebas que yo no cumplí, bacana, pero yo la cumplí."
535,Leandro Disconzi (passenger),1858.765,1860.205,1.440,"Yo cumplí. Y ahora sí tú me pruebas que yo no cumplí, bacana, pero yo la cumplí."
536,DGAC & PDI,1860.425,1864.645,4.220,"Cuando yo te dije, bajémonos, conversemos abajo, hagamos las cosas bien, hubiese sido distinto."
537,Leandro Disconzi (passenger),1865.105,1867.905,2.800,"Para mi amigo, para mi amigo ¡Mira!"
538,Leandro Disconzi (passenger),1868.445,1868.945,0.500,Tiene que tener un motivo para me sacar del avión.
539,Leandro Disconzi (passenger),1869.725,1871.205,1.480,Tiene que tener un motivo para me sacar del avión.
540,DGAC & PDI,1871.405,1871.485,0.080,Los motivos los dio la compañía y es lo ....
541,DGAC & PDI,1871.485,1872.145,0.660,Los motivos los dio la compañía y es lo ....
542,DGAC & PDI,1871.945,1872.005,0.060,Los motivos los dio la compañía y es lo ....
543,Leandro Disconzi (passenger),1873.685,1874.005,0.320,"Y los motivos son cambiados, ¿por qué fue cambiado? Pero, pero, pero, pero, yo esperaría que tú, ya que eres de la Segurancia, fuese a verificar esas informaciones. Si no son correctas, no son correctas."
544,Leandro Disconzi (passenger),1874.405,1875.365,0.960,"Y los motivos son cambiados, ¿por qué fue cambiado? Pero, pero, pero, pero, yo esperaría que tú, ya que eres de la Segurancia, fuese a verificar esas informaciones. Si no son correctas, no son correctas."
545,Leandro Disconzi (passenger),1875.545,1876.205,0.660,"Y los motivos son cambiados, ¿por qué fue cambiado? Pero, pero, pero, pero, yo esperaría que tú, ya que eres de la Segurancia, fuese a verificar esas informaciones. Si no son correctas, no son correctas."
546,Leandro Disconzi (passenger),1876.245,1879.865,3.620,"Y los motivos son cambiados, ¿por qué fue cambiado? Pero, pero, pero, pero, yo esperaría que tú, ya que eres de la Segurancia, fuese a verificar esas informaciones. Si no son correctas, no son correctas."
547,Leandro Disconzi (passenger),1880.465,1881.025,0.560,"Y los motivos son cambiados, ¿por qué fue cambiado? Pero, pero, pero, pero, yo esperaría que tú, ya que eres de la Segurancia, fuese a verificar esas informaciones. Si no son correctas, no son correctas."
548,Leandro Disconzi (passenger),1883.785,1885.405,1.620,"Y los motivos son cambiados, ¿por qué fue cambiado? Pero, pero, pero, pero, yo esperaría que tú, ya que eres de la Segurancia, fuese a verificar esas informaciones. Si no son correctas, no son correctas."
549,DGAC & PDI,1885.705,1886.405,0.700,Eso tú lo tienes que conversar con la compañia.
550,DGAC & PDI,1887.525,1888.205,0.680,Eso tú lo tienes que conversar con la compañia.
551,DGAC & PDI,1889.465,1890.425,0.960,Eso tú lo tienes que conversar con la compañia.
552,DGAC & PDI,1891.465,1892.705,1.240,Eso tú lo tienes que conversar con la compañia.
553,DGAC & PDI,1897.845,1898.225,0.380,Eso tú lo tienes que conversar con la compañia.
554,DGAC & PDI,1900.485,1901.865,1.380,"Claro, pero se verifica con la compañía, no lo podemos verificar en el avión"
555,DGAC & PDI,1903.745,1903.885,0.140,"Claro, pero se verifica con la compañía, no lo podemos verificar en el avión"
556,Leandro Disconzi (passenger),1908.465,1909.465,1.000,"Entonces, un funcionario... porque si picó una pregunta puede decidir de atrasar el vuelo"
557,Leandro Disconzi (passenger),1912.505,1913.385,0.880,"Entonces, un funcionario... porque si picó una pregunta puede decidir de atrasar el vuelo"
558,Leandro Disconzi (passenger),1914.765,1917.285,2.520,Pero ahí va a tener que tener algún tipo de justificación para eso!.
559,Leandro Disconzi (passenger),1918.805,1918.925,0.120,Pero ahí va a tener que tener algún tipo de justificación para eso!.
560,DGAC & PDI,1921.565,1922.345,0.780,"Ahh, a imigracion abajo"
561,DGAC & PDI,1925.605,1927.065,1.460,a veces hemos evitado más cosas
562,Leandro Disconzi (passenger),1927.125,1927.445,0.320,Mas evitado mas cosas se simplesmente...
563,DGAC & PDI,1928.025,1930.305,2.280,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
564,DGAC & PDI,1930.305,1931.625,1.320,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
565,DGAC & PDI,1931.625,1934.285,2.660,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
566,DGAC & PDI,1934.145,1936.365,2.220,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
567,DGAC & PDI,1936.565,1943.125,6.560,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
568,DGAC & PDI,1943.425,1947.265,3.840,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
569,DGAC & PDI,1947.805,1951.845,4.040,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
570,DGAC & PDI,1952.285,1953.425,1.140,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
571,DGAC & PDI,1953.625,1957.825,4.200,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
572,DGAC & PDI,1958.045,1961.225,3.180,"Pero si hubiese accedido al diálogo con nosotros, ya estaría caminando."
573,Leandro Disconzi (passenger),1961.465,1962.465,1.000,Yo estava dialogando!
574,Leandro Disconzi (passenger),1963.005,1964.125,1.120,e daí
575,Leandro Disconzi (passenger),1964.845,1966.365,1.520,primeiro tenta que eu o agredi
576,Leandro Disconzi (passenger),1966.725,1970.525,3.800,e daí claramente que viram a câmera e que isso não passou e daí viram
577,Leandro Disconzi (passenger),1970.805,1973.285,2.480,qualquer outra coisa mas foi ele mesmo que
578,Leandro Disconzi (passenger),1973.625,1977.505,3.880,estava ali que recebeu meu passaporte agora se ele não sacou
579,Leandro Disconzi (passenger),1977.965,1981.385,3.420,"Pero ahora empecé a ver que, alén de un proceso a la latam, yo puedo desarrollar un para ca...."
580,Leandro Disconzi (passenger),1983.425,1983.465,0.040,¿Me
581,Leandro Disconzi (passenger),1984.025,1984.605,0.580,"Pero ahora empecé a ver que, alén de un proceso a la latam, yo puedo desarrollar un para ca...."
582,Leandro Disconzi (passenger),1984.845,1986.025,1.180,"Pero ahora empecé a ver que, alén de un proceso a la latam, yo puedo desarrollar un para ca...."
583,Leandro Disconzi (passenger),1987.025,1987.365,0.340,"Pero ahora empecé a ver que, alén de un proceso a la latam, yo puedo desarrollar un para ca...."
584,Leandro Disconzi (passenger),1995.285,1996.185,0.900,"La agresión, no, no, no, la agresión, la justificativa para me sacar del vuelo."
585,Leandro Disconzi (passenger),2001.545,2003.145,1.600,"Yo entiendo que estan haciendo su trabajo, entiende..."
586,Leandro Disconzi (passenger),2003.685,2006.285,2.600,"Yo entiendo que estan haciendo su trabajo, entiende..."
587,Leandro Disconzi (passenger),2006.825,2008.585,1.760,"Yo entiendo que estan haciendo su trabajo, entiende..."
588,DGAC & PDI,2008.885,2012.685,3.800,"Nosotros lo hacemos porque la compañía informa, y eso son los protocolos de seguridad de los aeropuertos. Yo entiendo en general."
589,DGAC & PDI,2014.605,2015.965,1.360,"Nosotros lo hacemos porque la compañía informa, y eso son los protocolos de seguridad de los aeropuertos. Yo entiendo en general."
590,Leandro Disconzi (passenger),2017.425,2018.125,0.700,a
591,Leandro Disconzi (passenger),2018.745,2019.525,0.780,a a
592,Leandro Disconzi (passenger),2020.505,2021.045,0.540,a a a
593,Joaquin Barraza (Latam security staff),2021.085,2021.525,0.440,¿De acuerdo?
594,Leandro Disconzi (passenger),2021.685,2025.945,4.260,a a a a a a a a a a a a a a a justificativa
595,Leandro Disconzi (passenger),2026.185,2027.945,1.760,para me sacar do vuelo
596,Leandro Disconzi (passenger),2028.245,2028.485,0.240,isso
597,DGAC (Civil Aviation Authority),2031.925,2032.805,0.880,¿Los dejamos acá con usted?
598,Leandro Disconzi (passenger),2034.145,2035.465,1.320,"No, yo estoy un año viviendo acá. No, estoy viviendo acá y estoy divorciando de una chilena en este dato momento."
599,Leandro Disconzi (passenger),2038.665,2041.625,2.960,Venía acá simplemente para ver a mi hija y a ver a mi esposa.
600,Leandro Disconzi (passenger),2042.085,2047.465,5.380,interes? Nosotros lo hacemos porque la compañía informa. Esos son los protocolos de seguridad de los aeropuertos. Yo me interesa en general.
601,Leandro Disconzi (passenger),2047.465,2048.565,1.100,fazendo seu trabalho entende?
602,DGAC — Chilean Civil Aviation Authority (Officer 2),2048.685,2049.145,0.460,"Leandro,"
603,DGAC — Chilean Civil Aviation Authority (Officer 2),2049.545,2052.245,2.700,"ahora lo que tienes que tú es hablar con el policía,"
604,DGAC — Chilean Civil Aviation Authority (Officer 2),2052.625,2054.945,2.320,"¿ya? Y después hablar con la compania, a la policía."
605,DGAC (Civil Aviation Authority),2054.945,2057.665,2.720,"De hecho, a la policía tú le puedes colocar igual una denuncia al tiro."
606,Leandro Disconzi (passenger),2057.665,2058.405,0.740,Eso! Una denuncia.
607,Leandro Disconzi (passenger),2058.405,2058.985,0.580,Eso! Una denuncia.
608,DGAC — Chilean Civil Aviation Authority (Officer 2),2058.985,2062.764,3.779,"Leandro, a la policía tú le explicas que fue injusto que na... y todo lo que decías."
609,Leandro Disconzi (passenger),2063.185,2068.065,4.880,Pero ahora... ¿Van a tener que me dar algún tipo de prueba por qué me sacaron del vuelo?
610,DGAC — Chilean Civil Aviation Authority (Officer 2),2068.945,2070.245,1.300,"Porque el comandante lo exigió, po."
611,Leandro Disconzi (passenger),2070.385,2070.945,0.560,"Ya, pero..."
612,Leandro Disconzi (passenger),2071.205,2074.264,3.059,Pero ahí igual. ¿Por qué el comandante lo pidió?
613,DGAC — Chilean Civil Aviation Authority (Officer 2),2075.225,2078.005,2.780,Por eso. Eso tu le hi.. eso se lo dices a la policía.
614,DGAC (Civil Aviation Authority),2078.965,2079.284,0.319,Estaba
615,Leandro Disconzi (passenger),2083.445,2083.844,0.399,"Mira,"
616,Leandro Disconzi (passenger),2085.245,2086.005,0.760,eu eu
617,Leandro Disconzi (passenger),2087.565,2088.105,0.540,não
618,DGAC (Civil Aviation Authority),2088.105,2089.025,0.920,acá de vacaciones.
619,Leandro Disconzi (passenger),2089.025,2094.665,5.640,eu estou há um ano eu vivendo aqui não estou vivendo aqui e estou me divorciando de uma chileia nesse mesmo momento
620,Leandro Disconzi (passenger),2095.665,2099.565,3.900,Venía acá simplemente para ver a mi hija y arreglar a mi esposa.
621,DGAC (Civil Aviation Authority),2100.265,2100.625,0.360,Ya.
622,Leandro Disconzi (passenger),2100.625,2102.045,1.420,"No, no, no, no No,"
623,Leandro Disconzi (passenger),2116.905,2117.905,1.000,Los dejamos acá con ustedes.
624,Joaquin Barraza (Latam security staff),2119.585,2120.285,0.700,¿Por el apoyo?
625,Leandro Disconzi (passenger),2120.305,2121.925,1.620,Que le vaya bien. Ahí le explica todo.
626,Leandro Disconzi (passenger),2123.965,2124.365,0.400,"Leandro,"
627,Leandro Disconzi (passenger),2124.645,2125.165,0.520,Espérate bien.
628,Leandro Disconzi (passenger),2125.925,2126.925,1.000,¿Cómo estás? Te lo pedí. Loro era eerder allá con los aeropuertos. ¡Eres! Olas slicing vosotros teianos binoculmales. Como esta en general. Tienes queortar contains.
629,Leandro Disconzi (passenger),2126.945,2127.785,0.840,¿bien?
630,Leandro Disconzi (passenger),2127.785,2127.925,0.140,"no, no, no Vamos"
631,Leandro Disconzi (passenger),2128.265,2132.325,4.060,"Leandro, ¿pueden explicar primero por qué me sacaron del vuelo?"
632,Leandro Disconzi (passenger),2132.325,2133.785,1.460,"por acá, caminemos De"
633,Leandro Disconzi (passenger),2133.785,2134.865,1.080,"Pero, mientras"
634,Leandro Disconzi (passenger),2135.185,2136.205,1.020,tú me explicas.
635,Leandro Disconzi (passenger),2137.145,2147.545,10.400,"las antecedentes de ambas partes Mira, quiero saber qué pasó por parte de la compañía Y qué pasó por tu parte Ya, para ser totalmente objetivo En el tema Por"
636,Leandro Disconzi (passenger),2148.565,2154.485,5.920,Yo tengo que decir lo que pasó. Usted tiene que me explicar por qué me sacaron. A mí no pasó nada.
637,Leandro Disconzi (passenger),2154.805,2158.665,3.860,"eso, yo quiero saber qué pasó Porque te bajaron, te dieron alguna explicación"
638,Leandro Disconzi (passenger),2158.665,2164.565,5.900,"Sí, sí. El detalle que me dieron inicialmente es una explicación que yo tenía agredido"
639,Leandro Disconzi (passenger),2164.865,2165.285,0.420,"Ya,"
640,Leandro Disconzi (passenger),2165.405,2167.745,2.340,el funcionario del boarding pass
641,Leandro Disconzi (passenger),2168.025,2170.545,2.520,que resolvió mi boarding pass. ¿Ya? Primero.
642,Leandro Disconzi (passenger),2170.965,2171.385,0.420,perfecto
643,Leandro Disconzi (passenger),2171.385,2172.565,1.180,"Y ahí yo le dije, mira,"
644,Leandro Disconzi (passenger),2173.265,2174.245,0.980,ven en la cámara.
645,Leandro Disconzi (passenger),2174.425,2181.145,6.720,"Ni una de las personas que estaban cerca vieron nada. ¿Hay algún testigo que algo pasó? No, no. Y ahí, ¿y un poco qué pasa?"
646,Leandro Disconzi (passenger),2181.645,2183.485,1.840,"La historia, la narrativa cambia."
647,Leandro Disconzi (passenger),2183.685,2186.205,2.520,"Entonces, ahí, ah, mira, la..."
648,Leandro Disconzi (passenger),2186.425,2187.345,0.920,Él pasó
649,Leandro Disconzi (passenger),2187.625,2195.705,8.080,"sin mostrar el boarding pass. Mira, yo pase con el funcionario que estaba ahí. Abri mi pasaporte y mi boarding pass adentro. Y el mismo funcionario que me acusó"
650,Leandro Disconzi (passenger),2195.945,2196.365,0.420,de
651,Leandro Disconzi (passenger),2196.365,2196.665,0.300,"Ya,"
652,Leandro Disconzi (passenger),2196.665,2197.245,0.580,agresión.
653,Leandro Disconzi (passenger),2197.725,2198.105,0.380,"Pero,"
654,Leandro Disconzi (passenger),2198.745,2200.165,1.420,mira lo que le pregunté a él.
655,Leandro Disconzi (passenger),2200.625,2201.525,0.900,Porque él se picó.
656,Leandro Disconzi (passenger),2201.885,2202.225,0.340,ya
657,Leandro Disconzi (passenger),2202.285,2202.665,0.380,Y yo lo...
658,Leandro Disconzi (passenger),2203.185,2203.865,0.680,"No, no tú."
659,Leandro Disconzi (passenger),2205.365,2206.285,0.920,"De la, de la,"
660,Leandro Disconzi (passenger),2206.565,2207.165,0.600,de la... Y
661,Leandro Disconzi (passenger),2207.285,2207.645,0.360,Claro
662,Leandro Disconzi (passenger),2207.985,2208.845,0.860,"le pregunté, mira,"
663,Leandro Disconzi (passenger),2209.605,2210.805,1.200,acá está el boarding pass.
664,Leandro Disconzi (passenger),2211.345,2212.585,1.240,"Boarding time, dije,"
665,Leandro Disconzi (passenger),2212.885,2214.445,1.560,12 y 35.
666,Leandro Disconzi (passenger),2214.865,2216.045,1.180,Y yo salí corriendo.
667,Leandro Disconzi (passenger),2216.345,2222.645,6.300,"Porque yo llegué casi atrasado acá, salí corriendo. Y llegué arriba y era 12 y 50. Pensando, ya están casi todos adentro."
668,Leandro Disconzi (passenger),2222.825,2223.285,0.460,Claro
669,Leandro Disconzi (passenger),2223.325,2224.425,1.100,Ni empezaron todavía.
670,Leandro Disconzi (passenger),2224.965,2230.745,5.780,"Entonces, yo fui preguntar. Fui preguntar, mira, lo que exactamente significa el boarding time."
671,Leandro Disconzi (passenger),2231.145,2231.245,0.100,"Ya,"
672,Leandro Disconzi (passenger),2231.245,2235.465,4.220,Es la hora que ustedes tienen que estar acá. Yo pensé que tal vez fue la hora de entrar en el vuelo.
673,Leandro Disconzi (passenger),2236.005,2238.045,2.040,De empezar a adentrar.
674,Leandro Disconzi (passenger),2238.565,2238.865,0.300,No.
675,Leandro Disconzi (passenger),2239.405,2240.165,0.760,"Ok, bien."
676,Leandro Disconzi (passenger),2240.825,2245.505,4.680,"Entonces, empezó el boarding, que era para ser a 12 y 35. ¿Qué horas?"
677,Leandro Disconzi (passenger),2246.065,2247.265,1.200,A la 1 y 10.
678,Leandro Disconzi (passenger),2248.225,2248.545,0.320,¿Ya?
679,Leandro Disconzi (passenger),2249.245,2250.685,1.440,En menos de 15 minutos.
680,Leandro Disconzi (passenger),2251.705,2253.305,1.600,Let's go. Última llamada.
681,Leandro Disconzi (passenger),2253.665,2254.125,0.460,¿Entiendes?
682,Leandro Disconzi (passenger),2254.305,2256.365,2.060,"El boarding time,"
683,Leandro Disconzi (passenger),2256.905,2258.985,2.080,"que son más o menos 40, 45 minutos,"
684,Leandro Disconzi (passenger),2258.985,2259.305,0.320,exacto
685,Leandro Disconzi (passenger),2259.305,2261.845,2.540,fueron hechos en menos de 15 minutos.
686,Leandro Disconzi (passenger),2262.445,2264.745,2.300,"Entonces, cuando estaba pasando, yo le pregunté, mira,"
687,Leandro Disconzi (passenger),2266.405,2267.965,1.560,fue muy rápido
688,Leandro Disconzi (passenger),2268.445,2269.965,1.520,el boarding. Fue muy rápido.
689,Leandro Disconzi (passenger),2268.485,2268.605,0.120,No
690,Leandro Disconzi (passenger),2269.965,2270.905,0.940,es normal
691,Leandro Disconzi (passenger),2271.005,2274.985,3.980,"Ahí le dije, usted podría haber avisado que el otro vuelo estaba atrasado."
692,Leandro Disconzi (passenger),2275.625,2285.425,9.800,"Sí. Comunicación, pero yo entiendo por qué que la data no hace. ¿Entiendes? Porque no puede reportar la data. ¿Entiendes? Ya, yo entiendo todo eso. Pero el detalle es que fue eso. Él se picó."
693,Leandro Disconzi (passenger),2286.505,2293.345,6.840,"Y ahí, y eso pasa. Porque un funcionario se picó con la pregunta. ¿Eso no puede? No."
694,Leandro Disconzi (passenger),2293.545,2294.345,0.800,"No, tú."
695,Leandro Disconzi (passenger),2294.845,2296.305,1.460,"No, pues ahora soy yo."
696,Leandro Disconzi (passenger),2296.885,2297.165,0.280,Yo
697,Leandro Disconzi (passenger),2298.145,2298.525,0.380,tengo un
698,Leandro Disconzi (passenger),2299.085,2299.605,0.520,poco
699,Leandro Disconzi (passenger),2299.845,2301.765,1.920,El presidente en parte de nosotros
700,Leandro Disconzi (passenger),2302.005,2303.525,1.520,"Ya, ya Yo soy policía"
701,Leandro Disconzi (passenger),2303.705,2304.005,0.300,"Ya,"
702,Leandro Disconzi (passenger),2304.265,2306.185,1.920,ya Los de la policía de investigaciones
703,Leandro Disconzi (passenger),2306.185,2306.545,0.360,"Ya, ya."
704,Leandro Disconzi (passenger),2306.545,2309.525,2.980,"Ya, ya Nosotros ahora vamos a determinar qué le pasa Respecto a"
705,Leandro Disconzi (passenger),2309.785,2312.465,2.680,esto Que ya nosotros nos llamaron porque ¿Sí?
706,Leandro Disconzi (passenger),2312.465,2314.865,2.400,Yo voy a hacer una reclamación
707,Leandro Disconzi (passenger),2315.385,2319.865,4.480,"de todo después, porque yo todavía no entiendo... Claro."
708,Leandro Disconzi (passenger),2319.865,2320.705,0.840,"De hecho,"
709,Leandro Disconzi (passenger),2320.885,2323.305,2.420,para nosotros también es difícil de entender todo
710,Leandro Disconzi (passenger),2323.305,2323.865,0.560,¿En serio?
711,Leandro Disconzi (passenger),2324.805,2330.245,5.440,"¿Ya? Bueno, de nosotros vamos a ver todo lo que pasó Ya los antecedentes que nos cuentan, vamos a ver cámaras"
712,Leandro Disconzi (passenger),2330.245,2330.545,0.300,Yo
713,Leandro Disconzi (passenger),2330.545,2331.585,1.040,"Cámaras, salta me"
714,Leandro Disconzi (passenger),2331.585,2332.725,1.140,puedo mirar también.
715,Leandro Disconzi (passenger),2333.205,2336.185,2.980,Nosotros vamos a hacer análisis de cámaras Vamos a ver Yo también
716,Leandro Disconzi (passenger),2336.185,2337.165,0.980,¿Me puedo mirar?
717,Leandro Disconzi (passenger),2337.485,2337.865,0.380,Yo puedo.
718,Leandro Disconzi (passenger),2337.725,2341.625,3.900,"Si es que nos entregan los videos Si no vamos a tener que revisarlo nosotros Claro,"
719,Leandro Disconzi (passenger),2341.885,2343.745,1.860,Yo tengo que me quedar acá esperando eso.
720,Leandro Disconzi (passenger),2343.745,2347.605,3.860,"espera, espera Vas a tener que esperar Mientras nosotros tomamos una decisión No,"
721,Leandro Disconzi (passenger),2347.605,2349.825,2.220,¿Hay algún lugar que se pueda tomar un cigarro?
722,Leandro Disconzi (passenger),2350.105,2350.525,0.420,"no,"
723,Leandro Disconzi (passenger),2350.525,2351.505,0.980,¿Yo puedo salir con un cigarro?
724,Leandro Disconzi (passenger),2351.505,2352.565,1.060,"no Estaba en un aeropuerto, ahí sí"
725,Leandro Disconzi (passenger),2352.565,2355.745,3.180,"No, yo sé, pero yo puedo salir con un cigarro. Después, después."
726,Leandro Disconzi (passenger),2355.745,2359.645,3.900,"¿Todo bien? ¿Ok? Tomas esto acá ¿Tienes tu documento? Sí,"
727,Leandro Disconzi (passenger),2359.645,2360.165,0.520,"Sí, tengo que"
728,Leandro Disconzi (passenger),2360.085,2361.445,1.360,acá Sí Cuéntame un
729,Leandro Disconzi (passenger),2361.445,2363.025,1.580,ver. ¿Nos vemos luego que se pueda tomar un cigarro?
730,Leandro Disconzi (passenger),2364.625,2370.005,5.380,"Como el board en paz No, no, tu pasaporte Pasaporte o cero de la DNI Lo"
731,Leandro Disconzi (passenger),2370.005,2370.745,0.740,"Sí, sí, sí."
732,Leandro Disconzi (passenger),2370.745,2371.325,0.580,que sea
733,Leandro Disconzi (passenger),2372.045,2372.345,0.300,¿Tú?
734,Leandro Disconzi (passenger),2372.345,2372.705,0.360,Perfecto
735,Leandro Disconzi (passenger),2372.705,2374.185,1.480,"Ya, acá tengo que ver el cigarro."
736,Leandro Disconzi (passenger),2374.185,2374.565,0.380,Ok
737,Leandro Disconzi (passenger),2374.565,2375.645,1.080,¿Deja como tal?
738,Leandro Disconzi (passenger),2376.065,2376.185,0.120,"Ya,"
739,Leandro Disconzi (passenger),2376.205,2376.505,0.300,¿Deja?
740,Leandro Disconzi (passenger),2376.865,2377.745,0.880,"Ah, sí."
741,Leandro Disconzi (passenger),2377.945,2379.245,1.300,así lo voy a tratar
742,Leandro Disconzi (passenger),2379.585,2380.105,0.520,"Ok Ya,"
743,Leandro Disconzi (passenger),2380.445,2381.805,1.360,espera un momento ¿Ya?
744,Leandro Disconzi (passenger),2381.805,2382.505,0.700,"Claro, claro."
745,Leandro Disconzi (passenger),2382.505,2383.025,0.520,Toma Estás
746,Leandro Disconzi (passenger),2383.485,2385.185,1.700,peleado Espérame un poco
